define;sd
DELETE_SUPPORT_OF_4_0_PROTOCOL;1
MAX_THREADS;1
DBL_MIN;1
DONT_USE_SIGSUSPEND;4
VDISCRD;1
HAVE_CHARSET_koi8u;1
HAVE_CHARSET_koi8r;1
DOXYGEN_SHOULD_SKIP_DEPRECATED;1
PTHREAD_ERRORCHECK_MUTEX_INITIALIZER_NP;2
CHECK_INVARIANTS;2
CANT_DELETE_OPEN_FILES;3
OS_FILE_LIMIT;1
HAVE_PTHREAD_SIGMASK;2
BYFOUR;4
HAVE_SASL_SASL_H;5
longlong_defined;3
IMAXBEL;1
HAVE_IA64INTRIN_H;14
XCASE;4
XIDDATASIZE;1
_POSIX2_RE_DUP_MAX;2
CDISCARD;3
HAVE___HAS_TRIVIAL_CONSTRUCTOR;2
YASSL_SOCKET_T_DEFINED;1
HAVE_GETPID;1
HAS_sprintf_void;3
PTHREAD_ONCE_INITIALIZER;2
SYMOPT_NO_PROMPTS;1
make_atomic_add_body;1
YYSTYPE;1
_LONG_LONG;1
MAP_DEBUG;1
Flt_Rounds;3
OS_CODE;1
HAVE_LANGINFO_H;1
HAVE_BSD_SIGNALS;1
HASH_BIG_ENDIAN;5
WINDOWS;19
HAVE_INT32;2
YY_READ_BUF_SIZE;3
SCO;8
NEED_ALIGN;1
Honor_FLT_ROUNDS;5
NDB_REMOVE_BZERO;4
DBUG_ON;2
NDB_SIZEOF_LONG_LONG;1
NO_OPEN_3;2
HAVE_STDDEF_H;2
DONT_DEFINE_VOID;1
NO_CLIENT_LONG_LONG;6
YY_HEADER_EXPORT_START_CONDITIONS;1
HRT_USE_CLOCK_GETTIME;13
HAVE_IB_GCC_ATOMIC_BUILTINS;13
__sgi;5
SHAREDIR;1
DNS_USE_GETTIMEOFDAY_FOR_ID;6
HAVE_PTHREAD_RWLOCK_RDLOCK;4
HAVE_IB_SOLARIS_ATOMICS;9
double2ulonglong;1
_POSIX_CPUTIME;2
HAVE_CHSIZE;2
thread_safe_increment;3
TERMIO;55
MY_CHARSET_TIS620;1
HAVE_LIMITS_H;1
HAVE_CONFIG_H;1
ATTRIBUTE_FORMAT;1
_THREAD_SAFE;1
DISABLE_MYSQL_PRLOCK_H;3
__i386__;53
HAVE_SYS_DIR_H;1
HAVE_SIGSET;2
HAVE_SNPRINTF;2
SHA384_DIGEST_LENGTH;1
MYSQL_SERVICE_MY_SNPRINTF_INCLUDED;5
HAVE_STRTOUL;1
DISCRETE_INTERVAL_LIST_HAS_MAX_ONE_ELEMENT;2
USE_MUTEX_INSTEAD_OF_RW_LOCKS;5
WEXITSTATUS;3
SIGNAL_WITH_VIO_SHUTDOWN;1
HAVE_SOCKADDR_IN_SIN_LEN;1
UNIV_PFS_THREAD;1
USE_MY_STAT_STRUCT;4
YY_USE_CONST;2
__HP_aCC;2
VSTART;4
UNIV_ZIP_DEBUG;2
SHA256_DIGEST_LENGTH;1
DEBUG_TTY;1
HAVE_UINT64_T;5
CTIME;1
HAVE_NDB_CONFIG_H;1
VM_TRACE;5
UNIT_TEST;1
__sun;26
HRT_USE_TIMES;9
HAVE_READLINK;3
MAX_WBITS;1
HAVE_GETRLIMIT;3
TAB3;3
YY_FLEX_SUBMINOR_VERSION;1
__BORLANDC__;16
offsetof;1
CSTOPB;1
HAVE_CHARSET_utf8;13
UNIV_PFS_IO;2
PFS_MAX_SOCKET_CLASS;1
IGNPAR;1
HAVE_ULONG;1
CINTR;1
MGMAPI_ERROR_INCLUDE_MESSAGES;1
USHRT_MAX;6
HAVE_STDINT_H;4
M_I86MM;3
VERASE2;3
__be_os;3
HAVE_DEC_3_2_THREADS;11
MEM_PERIODIC_CHECK;1
_WINVER;2
ECHONL;1
_SC_NPROCESSORS_CONF;1
WITH_NDB_BINLOG;1
HAVE_IB_ATOMIC_PTHREAD_T_SOLARIS;5
_atomic_h_cleanup_;14
FRIEND_OF_GTID_SET;1
PARODD;1
SSL_ERROR_WANT_CONNECT;1
HAVE_INET_NTOP;2
PTHREAD_CREATE_JOINABLE;1
CDTRCTS;1
VTDLY;1
O_SHORT_LIVED;1
HAVE_UINT16_T;5
M_E;1
HAVE_GETPASS;17
h_errno;1
UNIV_SEARCH_DEBUG;1
IPTOS_THROUGHPUT;1
HAVE_REPLICATION;8
HAVE_MEMALIGN;4
my_socket_defined;3
DEBUG;8
GUNZIP;2
HAVE_PSI_SOCKET_INTERFACE;3
HAVE_ALIGNED_MALLOC;2
OFILL;1
VPGOFF;3
_LARGEFILE_SOURCE;2
DEFAULT_BASEDIR;2
_LIBC;3
ONLRET;2
WANT_OUR_ATOI;1
TEST_SPLIT;1
bzero;2
SIGXCPU;1
CRTS_IFLOW;1
M_I86;3
SCHED_RR;1
HAVE_PTHREAD_MUTEXATTR_SETTYPE;2
ZEXPORT;1
BSD;3
HAVE_TIMERCLEAR;2
HAVE_SYS_STAT_H;1
TARGET_OS_MAC;4
cmp_timespec;2
SCHED_FIFO;1
CFLUSH;1
BACKSLASH_MBTAIL;3
NOT_PACKED_DATABASES;1
local;1
thread_safe_add;3
__WIN__REMOVE_OBSOLETE_WORKAROUND;1
PROGRAM_EXTENSION;1
MY_GLOBAL_INCLUDED;13
LIST_EXTRA_DEBUG;1
HAVE_ISNAN;2
HAVE_CHARSET_dec8;1
HAVE_VASPRINTF;1
FORCE_STATIC;2
__MEDIUM__;3
BASKSLASH_MBTAIL;3
WIN_ASYNC_IO;1
HAVE_EMBEDDED_PRIVILEGE_CONTROL;1
UNIV_LOG_DEBUG;1
BSDLY;1
HUGETLB_USE_PROC_MEMINFO;2
MAP_NORESERVE;1
OPENSSL_VERSION_NUMBER;1
REGEX;6
HAVE_BSS_START;1
max;2
FORCE_DBUG_OFF;2
IEXTEN;6
stdin;2
__arraycount;1
CSTART;1
NCC;1
UNIV_DEBUG_VALGRIND;2
HAVE_BACKTRACE_SYMBOLS_FD;9
TZDIR;1
GDB_411_HACK;1
UINT8_MAX;1
HAVE_UINT32;2
OLD_VERSION;2
HAVE_MKSTEMP;3
APSTUDIO_READONLY_SYMBOLS;1
DO_NOT_REMOVE_THREAD_WRAPPERS;2
SIZEOF_CHARP;9
USE_MB;4
HAVE_CLOCK_GETTIME;20
HAVE_DLOPEN;4
SIZEOF_SHORT;2
__x86_64;11
NO_GZIP;2
HAVE_SCHED_YIELD;3
O_NOFOLLOW;1
HAVE_TIMES;3
VSWTCH;3
__SunOS_5_9;1
HPUX10;16
HPUX11;4
MDMBUF;1
__SunOS_5_7;17
HAVE_SYS_IPC_H;1
DISABLE_PSI_STATEMENT;2
__convex__;2
HAVE_STDLIB_H;2
HAVE_NETINET_IN_H;1
HAVE_CXXABI_H;1
HAVE_purify;7
HAVE_PTHREAD_YIELD_ZERO_ARG;4
HAVE_LOCALE_H;1
EXTRA_DEBUG;8
__USE_GNU;1
HAVE_AIOWAIT;2
z_off_t;1
make_atomic_cas_body;2
UNIV_LOG_ARCHIVE;6
UNIV_IBUF_COUNT_DEBUG;1
HAVE_CHARSET_mb2;2
__sun__;2
ISC;4
HAVE_BACKTRACE;13
__LARGE__;2
__GLIBC__;1
HAVE_FNMATCH_H;2
ISIG;1
HA_FT_WTYPE;2
INT8_MIN;1
UNICODE_32BIT;1
VSTATUS;4
NOT_YET_IMPLEMENTED;1
CERASE2;1
QSORT_TYPE_IS_VOID;2
_POWER;11
HAVE_STRTOK_R;1
HAVE_SVIS;2
UNIV_ZIP_SIZE_MIN;1
LOCK_MODE_MASK;2
HAVE_MLOCK;2
VMIN;3
protected;1
SOLAR;4
NDB_SIZEOF_INT;1
FLT_ROUNDS;2
LF_PINBOX_PINS;1
UNIV_SYNC_DEBUG;21
YY_NO_INPUT;1
howmany;1
PARMRK;1
NOT_YET_READY_FOR_8_BYTE_POINTERS;1
HAVE_GETPWNAM;1
HAVE_ALLOCA;7
NCCS;3
HAVE_GCOV;1
USE_DEBUG;2
YASSL_PREFIX;3
NO_STRTOLL_PROTO;1
POSTINC;2
KEYCACHE_TIMEOUT;8
PATH_MAX;1
SIZEOF_TIME_T;2
DBUG_OFF;61
VBRK;3
__QNXNTO__;1
FRIEND_OF_GROUP_CACHE;1
HAVE_CHARSET_latin7;1
HAVE_BROKEN_NETINET_INCLUDES;3
HAVE_CHARSET_latin5;1
SIGTSTP;1
HAVE_CHARSET_latin2;1
HAVE_CHARSET_latin1;1
VKILL2;3
BUF_BUDDY_LOW;1
HAVE_TERMIOS_H;7
HAVE_LINK_H;1
MAX_MEM_LEVEL;5
SUN_OS;1
VWERSE;1
I_AM_PARANOID;1
SNPRINTF_RETURN_TRUNC;1
__CYGWIN__;3
HAVE_SYS_WAIT_H;1
HAVE_GETEGID;1
M_LN2;1
UNDEF_HAVE_INITGROUPS;1
HAVE_NETINET_IN6_H;1
HAVE_GETNAMEINFO;3
WINVER;2
FTS_DOC_STATS_DEBUG;1
KSHVI;2
__WIN32__;11
MY_ATOMIC_HAS_8_16;1
HAVE_NETINET_TCP_H;1
__arm__;2
HAVE_MADVISE;3
HAVE_CHARSET_keybcs2;1
TABDLY;1
HAVE_RINT;1
ICANON;1
__ppc64__;9
PICK_BY_AREA;1
HAVE_YASSL;18
__STDC_LIMIT_MACROS;1
PFS_MAX_SETUP_ACTOR;1
UINT32_MAX;1
FTSORT_PRINT;2
_WIN32;133
PENDIN;1
ECHO;1
INNODB_MEMCACHED;9
HAVE_THREADS_WITHOUT_SOCKETS;1
HAVE_STRUCT_IN6_ADDR;3
MYSQL_DYNAMIC_PLUGIN;18
ALTWERASE;1
HAVE_DARWIN_THREADS;1
IXOFF;1
__weak_reference;2
CIBAUD;1
MSDOS;12
HAVE_OPENSSL;38
PSI_THREAD_CALL;1
UNIV_AHI_DEBUG;4
PFS_MAX_FILE_HANDLE;1
USE_SPARC_PREFETCH;2
__SSP__;2
HAVE_GETGID;1
HAVE_FILE_VERSIONS;1
HAVE_CHARSET_big5;2
VI_MOVE;1
ETIMEDOUT;1
HAVE_CHARSET_sjis;2
HAVE_GETHRTIME;9
HAVE_LDIV;2
HAVE_FTRUNCATE;3
HAVE_CURSES_H;2
BUF_LRU_OLD_RATIO_MIN;1
IGNCR;1
UNIV_IBUF_DEBUG;2
RTLD_DEFAULT;1
EX_OK;1
PSI_RWLOCK_CALL;1
NDB_WITHOUT_SERVER_ID_BITS;2
INPCK;1
HAVE_IPV6;2
PKZIP_BUG_WORKAROUND;2
HAVE_GETPAGESIZES;2
MY_ALIGNOF;3
CBRK;3
HAVE_PSI_MUTEX_INTERFACE;10
HRT_USE_ANSI_CLOCK;3
TZ_MAX_TYPES;3
O_NDELAY;4
MAX_CHAR_OK;1
YY_START_STACK_INCR;1
HAVE_GETPW_R_DRAFT;4
__SASC;1
NO_MEMCPY;1
CTRL;3
NDB_WITHOUT_ONLINE_ALTER;1
HAVE_CHARSET_cp1250;1
HAVE_CHARSET_cp1251;1
HAVE_CHARSET_cp1256;1
HAVE_CHARSET_eucjpms;2
HAVE_FCNTL;4
NO_YACC_SYMBOLS;2
GCC_VERSION;9
YY_NEED_STRLEN;1
SDEBUG;1
_CS_GNU_LIBPTHREAD_VERSION;1
HAVE_SUN_PREFETCH_H;3
UNIV_PFS_RWLOCK;20
EXTRA_HEAP_DEBUG;1
FRIEND_OF_GTID_STATE;1
DEF_WBITS;1
CHECK_EMBEDDED_DIFFERENCES;1
TODO;1
TIME_WITH_SYS_TIME;9
HAVE_ALLOCA_H;5
UNCOMMENT_THIS_WHEN_WL_WL_4024_IS_DONE;2
NARROW_WRAPPER;1
O_NONBLOCK;2
NLDLY;1
MYSQL_SERVER_SUFFIX;2
ENABLE_DTRACE;2
ZLIB_DLL;7
MYSQL_DATADIR;1
NON_DISABLED_GTID;1
HAVE_ATOMIC_BUILTINS_64;3
HAVE_PTHREAD_CONDATTR_SETCLOCK;2
_LARGEFILE64_SOURCE;2
HAVE_FSEEKO;1
PSI_COND_CALL;1
__USE_MISC;1
VREPRINT;3
HAVE_UINT16;1
__hpux;1
_keycache_h;1
NON_DISABLED_UNITTEST_GTID;1
MACOS;4
HAVE_SOLARIS_ATOMIC;3
CEOL2;1
IPV6_V6ONLY;1
DEBUG_EDIT;1
HAVE_DEVPOLL;1
HAVE_POSIX1003_4a_MUTEX;2
HAVE_SLEEP;2
CLOCK_REALTIME;3
YY_SKIP_YYWRAP;3
UNIV_NONINL;3
HAVE_SYS_TIMEB_H;8
HAVE_DROP_PRIVILEGES;2
HAVE_CHARSET_geostd8;1
HAVE_GCC_ATOMIC_BUILTINS;3
HAVE_STPCPY;3
HAVE_SETLOCALE;1
OS_2;1
USE_ISO_8859_1;2
__MACH__;11
CRPRNT;1
fdopen;1
DNS_USE_CPU_CLOCK_FOR_ID;9
MYSQL_SERVER;37
HAVE_CHARSET_ujis;2
NOTE_EOF;1
SET_INEXACT;3
POSIX;58
__SUNPRO_C;36
ENABLE_MEMCACHED_SASL;8
HAVE_SASL_CB_GETCONF;1
ECHOE;1
HAVE_PTHREAD_ATTR_SETSTACKSIZE;1
isoctal;2
ECHOK;1
VAXC;1
HAVE_UCA_COLLATIONS;20
HAVE_CHARSET_greek;1
SIGHUP;1
ulonglong2double;1
INET6_ADDRSTRLEN;2
O_SHARE;4
HAVE_VSNPRINTF;8
WCHAR_MAX;1
TZINFO2SQL;1
HAVE_SYS_SELECT_H;3
HAVE_DIRENT_H;7
HAVE_INT8;1
VWERASE;4
__MSVC_RUNTIME_CHECKS;1
HAVE_GETTIMEOFDAY;6
TARGET_OS_LINUX;11
HAVE_TIMERISSET;2
USE_MB_IDENT;1
_P1003_1B_VISIBLE;1
INFLATE_STRICT;2
YY_DECL;1
UNIV_BTR_PRINT;2
HAVE_UINT8_T;2
HAVE_TAILQFOREACH;1
HAVE_SYS_TIMES_H;12
USE_INTERNAL_CTYPE;6
