define;sd
Z_BUFSIZE;3
DISABLE_PSI_STAGE;1
PFS_MAX_SETUP_OBJECT;1
__linux;2
OF;3
my_atomic_rwlock_init;12
FUTURE;1
ESRCH;1
MAIN;25
__ia64__;27
HAVE_IN_ADDR_T;1
FILE_WRITE_TO_END_OF_FILE;1
LIKE_CMP_TOUPPER;2
__xlC__;4
CCTS_OFLOW;2
TRY_AGAIN;5
NARROWCHAR;1
HAVE_PSI_1;1
HAVE_PSI_2;1
MY_ALIGNED;3
NO_snprintf;10
HAVE_RDTSCLL;17
HAVE_IB_ATOMIC_PTHREAD_T_GCC;2
ENABLE_SASL_PWDB;1
NO_CLIENT_LONGLONG;2
HAVE_DECL_TGOTO;1
PARENB;2
SERIALIZED_READ_FROM_CACHE;1
UNIV_LINUX;1
FORCE_INIT_OF_VARS;6
INT_MAX;4
HAVE_SYS_TIME_H;6
USE_RELOC;1
HAVE_PTHREAD_KILL;1
SIZEOF_PTHREAD_T;3
DUMP_BL_TREE;1
TRUNCATE_BLOCK;1
HAVE_PAUSE_INSTRUCTION;7
HAVE_GETPASSPHRASE;2
__EMX__;1
DONT_USE_MYSQL_PWD;2
DONT_MAP_VIO;1
__i386;24
__GNUC__;97
HAVE_SYS_RESOURCE_H;2
HAVE_MMAP64;2
DBL_MAX;1
PFS_STATEMENTS_STACK_SIZE;1
HAVE_GETRUSAGE;4
MAX_INDEXES;4
lint;9
HAVE_CHARSET_armscii8;1
HAVE_CHARSET_ucs2;5
FORCE_PRIMARY_KEY;1
FORCE_STORED;2
ESPIPE;1
HAVE_PRINTSTACK;10
notyet;3
_EVENT___cplusplus;1
CERASE;1
_EVENT_HAVE_STDINT_H;1
TZ_MAX_TIMES;1
_WINDOWS;1
PFS_MAX_FILE_CLASS;1
CWERASE;2
UNIV_DEBUG_FILE_ACCESSES;1
convex;2
VALGRIND;6
CREPRINT;3
__powerpc__;24
HAVE_GETPW_R_POSIX;5
TOPS20;1
my_write;1
TEST;3
USING_SECOND_APPROACH;2
__GNUC_MINOR__;2
MAXPATHLEN;2
HAVE_PSI_FILE_INTERFACE;2
UNIV_LIST_DEBUG;2
CRTSCTS;3
EOVERFLOW;1
KEYCACHE_DEBUG_LOG;6
WIDECHAR;8
DISABLE_PSI_TABLE;1
HAVE_LOCALTIME_R;6
HAVE_QUERY_CACHE;3
SASL_ENABLED;4
_LARGE_FILE_API;1
VDISCARD;5
HRT_USE_ANSI_TIME;2
NDB_PORT;1
HAVE_MMAP;6
HAVE_ISSETUGID;4
HAVE_STRTOLL;6
HAVE_SYS_CDEFS_H;1
HAVE_SIGIGNORE;1
NO_ALARM_LOOP;6
HAVE_THR_SETCONCURRENCY;3
HAVE_PSI_STATEMENT_DIGEST_INTERFACE;4
HAVE_NOT_BROKEN_SELECT;2
DISABLE_PSI_COND;1
M_PI;1
HAVE_UTF8_GENERAL_CS;3
SIZEOF_LONG_LONG;19
HAVE_LONG_LONG;14
_WIN64;24
PAGEOUT;1
SIZEOF_INT;22
HAVE_CHARSET_utf32;6
QSORT_EXTRA_CMP_ARGUMENT;2
CLOCK_MONOTONIC;6
HAVE_SCHED_H;1
S_ISLNK;3
SNAMES;1
MYSQL_SERVICE_THD_ALLOC_INCLUDED;5
PLUGINDIR;1
PSI_FILE_CALL;1
_M_IX86;23
DISABLE_PSI_SOCKET;1
VEOF;3
EVDNS_MAIN;1
__64BIT__;11
ECHOPRT;1
MY_ALIGN_EXT;1
MAX_MATCH;2
ysSSL_crypto_h__;2
HAVE_CHARSET_euckr;1
VIO_USE_DONTWAIT;1
MYSQL_CLIENT;19
TO_BE_REMOVED;2
DONT_USE_RW_LOCKS;3
VDSWTCH;3
INT8_MAX;1
HAVE_PSI_THREAD_INTERFACE;3
private;1
UNIV_HASH_DEBUG;2
CHECK_LICENSE;1
HAVE_EPOLL;1
IXANY;1
MI_KEYMAP_BITS;2
HAVE_ATOMIC_SWAP_32;6
PFS_MAX_RWLOCK_CLASS;1
HAVE_INTTYPES_H;4
__HP_cc;3
HAVE_SYS_PARAM_H;1
NOT_YET_WORKING;2
HAVE_LINUX_SCHEDULING;9
_ARCH_PPC64;13
HASH_LITTLE_ENDIAN;9
HAVE_READ_REAL_TIME;8
HAVE_NETDB_H;1
_ILP32;15
UNIV_HOTBACKUP;76
_SC_NPROCESSORS_ONLN;3
ENABLE_ISASL;8
MAX_KEY_LENGTH_BITS;1
Inaccurate_Divide;2
HAVE_GETUID;1
DISABLE_PSI_FILE;1
__POWERPC__;11
YY_BUF_SIZE;3
HAVE_LONGJMP;1
F_OPEN;1
YASSL_MYSQL_COMPATIBLE;2
HAVE_TIME;5
HAVE_MEMCNTL;2
IGNBRK;1
OXTABS;3
GZIP;1
N_MAXKEY;1
MAKEFIXED;2
ETIME;2
longlong10_to_str;1
__USE_XOPEN;1
HAVE_NDB_BINLOG;3
HAVE_TIMESPEC_TS_SEC;7
UNIV_PFS_MUTEX;15
DISABLE_MYSQL_THREAD_H;24
BITS_SAVED;5
__COMPACT__;2
ZLIB_WINAPI;5
HAVE_SYS_SHM_H;1
__MWERKS__;7
INT16_MAX;1
SIZEOF_LONG;22
HAVE_NONPOSIX_SIGWAIT;9
HAVE_CHARSET_macroman;1
__APPLE__;25
SYSTEM_SIZEOF_OFF_T;2
WITH_PARTITION_STORAGE_ENGINE;5
USE_SYSTEM_MALLOC;1
MYSQL_VERSION_ID;23
HAVE_IEEEFP_H;1
OFDEL;1
HAVE_DLFCN_H;2
FLUSHO;2
ASMV;8
ll2str;1
HAVE_EVENT_PORTS;1
pthread_key_delete;1
SAFE_MUTEX;31
HAVE_FSYNC;3
YIELD_LOOPS;1
HAVE_PTHREAD_SET_SCHEDPARAM;2
YY_TYPEDEF_YY_BUFFER_STATE;1
NO_GZCOMPRESS;17
UNIV_DEBUG;45
ZEXTERN;1
USE_MY_FUNC;1
DISABLE_PSI_STATEMENT_DIGEST;1
_POSIX_C_SOURCE;3
HAVE_STRING_H;1
NOT_ANYMORE;1
HAVE_DLERROR;4
UNIV_MATERIALIZE;1
HAVE_COMPRESS;4
MY_ASSERT_UNREACHABLE;1
HAVE_UCHAR;1
ZUTIL_H;1
__OS400__;2
BUF_LRU_OLD_RATIO_MAX;2
HAVE_INT64;1
HAVE_RWLOCK_T;1
__NetBSD__;2
NEW_HASH_FUNCTION;2
VTIME;3
ULONGLONG_MAX;3
UNIV_BLOB_LIGHT_DEBUG;1
min;1
TESTTIME;1
VLNEXT;3
__OS2__;1
HAVE_WINDOWS_ATOMICS;7
ENABLED_DEBUG_SYNC;3
pyr;1
HAVE_U_INT32_T;1
CSUSP;1
HAVE_SYS_NDIR_H;1
HAVE_GETCWD;3
__GCC;2
DONT_REMAP_PTHREAD_FUNCTIONS;2
HAVE_SELECT;5
BUF_LRU_OLD_RATIO_DIV;1
HAVE_RTREE_KEYS;5
ONLCR;2
MY_ZCALLOC;2
NO_DIVIDE;2
HAVE_STRUCT_DIRENT_D_NAMLEN;2
HAVE_STRSEP;1
SSL_ERROR_WANT_ACCEPT;1
ATTRIBUTE_FORMAT_FPTR;3
SOCKOPT_OPTLEN_TYPE;1
INNODB_PAGE_ATOMIC_REF_COUNT;1
HAVE_LIBWRAP;2
PTHREAD_SCOPE_SYSTEM;1
ZEXPORTVA;1
ONOCR;1
HAVE_SMEM;3
ISTRIP;1
stpcpy;1
HAVE_TIME_H;1
SIZE_T_MAX;1
ONOEOT;1
HAVE_PSI_INTERFACE;26
__GNUC_MINOR;4
_MSC_EXTENSIONS;2
CLNEXT;2
__RCSID;1
USE_PSI_1;2
USE_PSI_2;3
SIGPIPE;1
ENABLED_LOCAL_INFILE;1
USE_ORIG_REGEX_CODE;3
INNODB_RW_LOCKS_USE_ATOMICS;1
HAVE_MEMCPY;8
NDB_MUTEX_STAT;4
HAVE_SYS_VADVICE_H;1
USE_MY_STREAM;1
ECHOKE;1
LOCK_MODULE_IMPLEMENTATION;1
INT16_MIN;1
HAVE_SOLARIS_AFFINITY;5
HAVE_PSI_RWLOCK_INTERFACE;4
SSL_VARS_NOT_STATIC;2
HAVE_CHARSET_utf16;6
F_SETFL;3
BIG_TABLES;4
WIFEXITED;1
HAVE_UNISTD_H;3
HAVE_SYS_UN_H;2
HANDLER_API_MEMCACHED;1
HAVE_WCSDUP;3
UINT16_MAX;1
HAVE_CHARSET_cp866;1
HAVE_BZERO;1
RCV1EN;1
SHARED_LIBRARY;3
HAVE_PTHREAD_CONDATTR_CREATE;1
ENABLE_SASL;7
make_atomic_load_body;1
__BIG_ENDIAN;6
NEED_MY_RW_LOCK;7
ENABLED_PROFILING;5
RLIMIT_NOFILE;3
HAVE_ATOMIC_BUILTINS;10
MIN_MATCH;1
NEED_SYS_SYSLOG_H;1
MY_TEST_UTF8;1
NOGDI;1
NO_BACKGROUND;2
HAVE_FTIME;7
UNIV_BUF_DEBUG;4
HAVE_CHARSET_utf8mb4;6
HAVE_WRITE_CORE;1
_POSIX_VDISABLE;2
HA_KEYTYPE_FLOAT;2
POLLRDHUP;1
TOO_FAR;2
IXON;1
HAVE_BROKEN_RWLOCK;1
NOKERNINFO;1
HAVE_RWLOCK_INIT;3
thr_got_alarm;1
HAVE_CHARSET_tis620;2
NDB_WIN32;3
bool;3
HUPCL;1
IOV_MAX;2
HAVE_WORKING_KQUEUE;1
__LIBC12_SOURCE__;1
DOXYGEN_SHOULD_SKIP_INTERNAL;3
OCRNL;1
EPROTO;2
_REENTRANT;5
BINARY;1
_DIAGASSERT;1
HAVE_BROKEN_PREAD;1
MY_GNUC_PREREQ;5
ICRNL;1
TIOCGWINSZ;1
USE_SYSTEM_WRAPPERS;1
HAVE_SPATIAL;4
__FreeBSD__;15
HAVE_STRLCAT;2
USE_SYMDIR;1
VEOL;3
OS2;7
HAVE_PTHREAD_SETSCHEDPARAM;4
INADDR_NONE;1
PAGE_ZIP_SSIZE_BITS;1
EINTR;1
LF_BACKOFF;1
CHARSET_INFO_DEFINED;1
HAVE_PWRITE;1
NDB_SHM_TRANSPORTER;1
PFS_MAX_STAGE_CLASS;1
__SVR4;1
VIDEFAULT;2
__USE_UNIX98;1
CIGNORE;1
HAVE_VIS_H;2
_LP64;17
FAST;1
HAVE_TELL;2
HAVE_BROKEN_SNPRINTF;1
INVERT_TERTIARY_WEIGHTS;1
KEYCACHE_DEBUG;13
SHA224_DIGEST_LENGTH;1
HAVE_BROKEN_REALPATH;3
HAVE_SYS_UTIME_H;2
VQUIT;3
NI_MAXSERV;1
HAVE_THR_YIELD;1
IUCLC;1
HAVE_NONPOSIX_PTHREAD_GETSPECIFIC;3
MY_BYTE_ORDER_ARCH_OPTIMIZED;3
VKILL;3
HRT_USE_GETRUSAGE;5
LOCK_GAP;2
WINAUTH_USE_DBUG_LIB;3
DEC_MULTINATIONAL_CHAR;2
CQUIT;1
DONT_USE_THR_ALARM;32
HAVE_SYS_TYPES_H;3
DYNAMIC_CRC_TABLE;6
XMT1EN;1
HAVE_SIGACTION;9
HAVE_CHARSET_cp850;1
FILE_BINARY;2
HAVE_CHARSET_cp852;1
UNIV_INNOCHECKSUM;27
YY_DECL_IS_OURS;1
PSI_STATEMENT_CALL;1
__cplusplus;41
GEN_TREES_H;7
ULL;3
__MY_NOSYS__;3
__arch64__;6
SAFE_MUTEX_DETECT_DESTROY;3
HAVE_PTHREAD_KEY_DELETE;1
HAVE_POLL;5
M_I86SM;3
