define;sd
xmlValidateElementDecl;1
xmlUCSIsHiragana;1
PY_VERSION_HEX;5
xmlShellValidate;1
xmlRelaxNGDump;1
xmlHashAddEntry;1
xmlTextWriterStartAttribute;1
xmlParserWarning;1
xmlFreeURI;1
xmlUCSIsMathematicalOperators;1
xmlExpExpDerive;1
xmlXPathNextParent;1
xmlGetFeature;1
xmlParseNotationType;1
VA_COPY;10
xmlSetEntityReferenceFunc;1
_XOPEN_VERSION;2
xmlUCSIsDevanagari;1
xmlStreamWantsAnyNode;1
HAVE_BROKEN_SS_FAMILY;1
xmlNodeGetContent;1
HAVE_LOCALTIME;1
xmlDocDumpMemoryEnc;1
DUMP_CONTENT_MODEL;1
xmlTextReaderIsEmptyElement;1
__DJGPP__;29
xmlFreePattern;1
xmlUCSIsIPAExtensions;1
__XML_PARSER_H__;1
xmlFileRead;1
xmlSplitQName3;1
xmlSplitQName2;1
_IEEE_FP;6
xmlXPtrNewContext;1
DEBUG_IDC_NODE_TABLE;3
xmlXPathCastNodeSetToNumber;1
xmlBufferShrink;1
xmlTextWriterWriteVFormatDTDElement;1
ENODEV;1
PyBool_Check;1
xmlListAppend;1
HAVE_SYS_TIMEB_H;7
xmlTextWriterEndComment;1
DBL_MANT_DIG;1
xmlExpSubsume;1
xmlBufUse;1
xmlUCSIsYiSyllables;1
xmlTextReaderLookupNamespace;1
xmlParseAttribute;1
xmlNodeGetLang;1
xmlNewParserCtxt;1
xmlDumpElementDecl;1
xmlNanoFTPScanProxy;1
TRIO_UNIX98;2
xmlC14NExecute;1
xmlTextReaderRelaxNGValidateCtxt;1
xmlHashScanFull3;1
xmlSchemaFree;1
xmlParserInputBufferCreateFilenameDefault;1
__SUNPRO_C;9
xmlTextReaderNextSibling;1
xmlClearParserCtxt;1
xmlValidateNCName;1
xmlListSize;1
xmlSetBufferAllocationScheme;1
xmlDebugDumpDocument;1
xmlXPtrEval;1
HAVE_ANSIDECL_H;1
xmlPopInput;1
CLZ;3
xmlXPathBooleanFunction;1
xmlTextReaderSetParserProp;1
ECONNREFUSED;1
xmlTextWriterStartAttributeNS;1
HAVE_VSNPRINTF;1
xmlFileClose;1
DEBUG_STREAMING;1
xmlTextReaderSetErrorHandler;1
xmlUCSIsGujarati;1
ENOEXEC;1
xmlSchematronNewValidCtxt;1
EBADF;1
htmlSetMetaEncoding;1
xmlReaderNewDoc;1
xmlOutputBufferCreateIO;1
HAVE_GETTIMEOFDAY;24
xmlClearNodeInfoSeq;1
xmlXPathConvertNumber;1
_WINDOWS_;1
XP_DEFAULT_CACHE_ON;1
xmlDoValidityCheckingDefaultValue;3
xmlListRemoveFirst;1
xmlTextReaderConstPrefix;1
xmlRecoverDoc;1
xmlNormalizeWindowsPath;1
xmlGetUTF8Char;1
xmlXIncludeProcessTree;1
xmlCatalogDump;1
xmlXPathNextDescendantOrSelf;1
xmlParseNamespace;1
bottom_xmlregexp;55
xmlStrcasecmp;1
HAVE_WIN32_THREADS;21
xmlSAX2SetDocumentLocator;1
xmlReaderForMemory;1
xmlTextReaderByteConsumed;1
SAX2;3
xmlListReverseSearch;1
xmlLastError;1
DEBUG_CONTENT;1
HAVE_VPRINTF;1
xmlNewDtd;1
xmlXPathWrapExternal;1
xmlSAX2GetSystemId;1
__IBMCPP__;6
xmlUCSIsBlockElements;1
xmlSchemaValidateLengthFacetWhtsp;1
LIBXML_STATIC;25
xmlHashCreateDict;1
xmlParseCtxtExternalEntity;1
AMIGA;3
xmlNanoHTTPMethod;1
xmlNodeGetBase;1
xmlXPathNextAncestorOrSelf;1
xmlXPathNewNodeSetList;1
xmlXPathNewFloat;1
xmlTextWriterEndCDATA;1
xmlXPathNewString;1
xmlAddSibling;1
xmlScanName;1
xmlRelaxNGSetParserErrors;1
xmlSchemaValidateLengthFacet;1
WXS_ELEM_DECL_CONS_ENABLED;1
xmlGetCharEncodingName;1
xmlRegisterDefaultInputCallbacks;1
DEBUG_COMPILE;1
ENOTSUP;1
xmlParserPrintFileInfo;1
xmlDebugDumpEntities;1
__linux__;9
FP_PLUS_NORM;5
xmlXPathNodeSetCreate;1
xmlXPathNextAncestor;1
xmlNewTextWriterDoc;1
xmlXPathCastNumberToBoolean;1
xmlUCSIsCatCs;1
xmlUCSIsCatCf;1
xmlNewNode;1
xmlUCSIsCatCo;1
XML_SCHEMA_READER_ENABLED;2
xmlSchematronNewDocParserCtxt;1
bottom_threads;17
xmlInitializeGlobalState;1
xmlRecoverMemory;1
xmlSchemaValPredefTypeNodeNoNorm;1
xmlTextReaderIsDefault;1
TRIO_COMPILER_SUPPORTS_ISO94;2
xmlBufferCreateSize;1
xmlValidateAttributeDecl;1
xmlRemoveRef;1
HAVE_GETADDRINFO;9
MB_LEN_MAX;2
_AIX;21
xmlParserPrintFileContext;1
_MSC_VER;39
LIBXML_HTML_ENABLED;154
xmlReaderNewMemory;1
LIBXML_XPTR_ENABLED;46
xmlTextReaderSchemaValidateCtxt;1
xmlNewProp;1
xmlAutomataSetFinalState;1
xmlShellList;1
xmlSchemaValidCtxtGetParserCtxt;1
xmlSAXParseEntity;1
xmlSaveToIO;1
DEBUG_FILES;1
xmlCleanupCharEncodingHandlers;1
xmlCreateEnumeration;1
xmlHashUpdateEntry;1
xmlRelaxNGValidatePopElement;1
xmlShellDu;1
USE_TOUPPER;2
xmlSprintfElementContent;1
GetAddrInfo;1
__DECC;4
xmlParserInputBufferCreateFilename;1
xmlParseEntityRef;1
xmlTextWriterStartElement;1
htmlInitAutoClose;1
xmlParserInputBufferCreateMem;1
HAVE_SYS_SOCKET_H;2
xmlSaveClose;1
xmlTextReaderReadOuterXml;1
xmlUCSIsTamil;1
TRIO_PLATFORM_UNIX;12
xmlShellCat;1
xmlTextWriterWriteAttributeNS;1
xmlDebugDumpString;1
DEBUG_ERROR;2
xmlMallocAtomicLoc;1
xmlTextWriterSetQuoteChar;1
xmlEncodeEntities;1
xmlOutputBufferGetSize;1
xmlSAX2StartElementNs;1
xmlNewEntity;1
xmlStrncasecmp;1
xmlCanonicPath;1
xmlSchemaNewStringValue;1
xmlXPathNextPrecedingSibling;1
xmlCatalogCleanup;1
xmlSAX2InitDefaultSAXHandler;1
xmlNextChar;1
xmlXPathNodeSetDel;1
TRIO_COMPILER_SUPPORTS_C99;34
xmlIsID;1
_WINSOCKAPI_;21
xmlParseExtParsedEnt;1
EAFNOSUPPORT;1
xmlNanoFTPProxy;1
xmlGetDtdNotationDesc;1
xmlHashCopy;1
LIBXML_CATALOG_ENABLED;88
xmlSAX2Characters;1
HAVE_NETINET_IN_H;2
xmlTextWriterWriteDTDInternalEntity;1
xmlUCSIsCJKUnifiedIdeographsExtensionA;1
xmlUCSIsCJKUnifiedIdeographsExtensionB;1
htmlCreateMemoryParserCtxt;1
O_BINARY;5
xmlIsDigit;1
xmlTextWriterEndDTDAttlist;1
xmlTextReaderNamespaceUri;1
xmlCatalogSetDebug;1
xmlParserGetDirectory;1
xmlTextWriterWriteVFormatCDATA;1
xmlSchemaCleanupTypes;1
xmlTextWriterWriteFormatAttribute;1
xmlXPathNodeSetContains;1
xmlFreeNsList;1
xmlParseEntityDecl;1
InterlockedCompareExchangePointer;2
xmlDocCopyNode;1
nodePop;1
MIN;1
xmlXPathNextDescendant;1
xmlXPathNewNodeSet;1
xmlSchemaFreeValidCtxt;1
EAGAIN;2
xmlBufferEmpty;1
xmlSchemaNewParserCtxt;1
xmlInitializeCatalog;1
xmlMemGet;1
xmlParseEntity;1
xmlReaderNewIO;1
xmlDocGetRootElement;1
xmlSchemaValidateStream;1
xmlSchemaFreeType;1
xmlSetStructuredErrorFunc;1
xmlXPathPopString;1
htmlCreateFileParserCtxt;1
xmlSaveTree;1
xmlTextReaderConstEncoding;1
xmlValidateOneAttribute;1
xmlIOFTPClose;1
xmlTextWriterWriteVFormatElement;1
xmlAddEncodingAlias;1
xmlNanoHTTPClose;1
xmlTextReaderMoveToAttribute;1
xmlDocDumpFormatMemoryEnc;1
xmlUCSIsCJKCompatibilityForms;1
xmlTextReaderSetSchema;1
xmlUnsetNsProp;1
xmlElemDump;1
xmlXPathConcatFunction;1
xmlSaveFormatFileTo;1
bottom_xmlsave;32
xmlSchemaValidateListSimpleTypeFacet;1
xmlXPathCastToBoolean;1
__osf___;8
bottom_buf;6
xmlDebugDumpAttrList;1
xmlTextWriterWriteVFormatComment;1
xmlTextReaderReadString;1
ENETUNREACH;1
xmlUCSIsLinearBIdeograms;1
xmlParseCharData;1
xmlXPathFunctionLookup;1
xmlUCSIsThai;1
htmlCtxtReset;1
__LANGUAGE_C__;3
xmlCtxtReadFile;1
xmlXPtrNewRangePoints;1
HAVE_FTIME;2
bottom_parserInternals;35
xmlCatalogResolveSystem;1
ENABLE_PARTICLE_RESTRICTION;2
xmlTextReaderConstLocalName;1
HAVE_VFPRINTF;1
xmlXPathLastFunction;1
xmlUCSIsOpticalCharacterRecognition;1
xmlThrDefSubstituteEntitiesDefaultValue;1
xmlNewNsProp;1
xmlThrDefIndentTreeOutput;1
xmlUCSIsYijingHexagramSymbols;1
xmlReaderNewFd;1
DBL_DIG;2
xmlIOHTTPRead;1
xmlCreateMemoryParserCtxt;1
xmlNanoFTPClose;1
bottom_xmlIO;67
xmlXPathCmpNodes;1
xmlParseName;1
xmlBufferWriteQuotedString;1
xmlGetExternalEntityLoader;1
xmlCopyNode;1
xmlXPathCastStringToBoolean;1
xmlListRemoveAll;1
xmlDictGetUsage;1
xmlParserAddNodeInfo;1
xmlTextReaderMoveToElement;1
htmlIsAutoClosed;1
xmlUCSIsUgaritic;1
xmlUCSIsCJKCompatibilityIdeographsSupplement;1
xmlBufNodeDump;1
xmlReconciliateNs;1
EFAULT;1
xmlNewChild;1
DEBUG_SAX_TREE;2
ICONV_CONST;1
xmlUCSIsKangxiRadicals;1
xmlListEnd;1
QUALIFIER_QUAD;1
inputPop;1
xmlXPtrLocationSetRemove;1
xmlCreateIntSubset;1
NEED_SOCKETS;1
USE_MULTIBYTE;2
xmlXPathSubValues;1
xmlUCSIsArabicPresentationFormsA;1
xmlNanoHTTPSave;1
xmlUCSIsArabicPresentationFormsB;1
xmlUCSIsGeometricShapes;1
xmlTextWriterWriteDTDEntity;1
O_NONBLOCK;3
xmlBufferLength;1
HAVE_ARPA_NAMESER_H;1
xmlGetPredefinedEntity;1
htmlTagLookup;1
xmlSaveFile;1
xmlSchemaCompareValues;1
xmlXPathNextNamespace;1
xmlUCSIsBuhid;1
xmlStrVPrintf;1
xmlSchemaValidateOneElement;1
xmlReadDoc;1
xmlTextWriterWriteFormatComment;1
TRIO_COMPILER_SUPPORTS_C89;1
xmlReaderNewFile;1
xmlTextWriterWriteString;1
xmlCharEncFirstLine;1
xmlFreeDtd;1
xmlTextReaderSetup;1
bottom_xmlschemas;36
xmlSetListDoc;1
htmlCtxtReadFile;1
xmlExpParse;1
xmlXPathLeading;1
xmlThrDefLineNumbersDefaultValue;1
xmlListInsert;1
QUALIFIER_QUOTE;1
xmlSchemaGetCanonValue;1
ENABLE_IDC_NODE_TABLES_TEST;2
xmlUCSIsCombiningHalfMarks;1
HASH_RANDOMIZATION;1
TRIO_PRIVATE;1
xmlUCSIsCatSc;1
xmlFreePatternList;1
xmlUCSIsCatSo;1
xmlUCSIsCatSm;1
xmlUCSIsCatSk;1
bottom_xpointer;23
xmlXPathFreeContext;1
xmlShellLoad;1
HAVE_RESOLV_H;2
EDEADLK;1
xmlSAX2EndDocument;1
xmlFreeRefTable;1
LIBXML_ICU_ENABLED;9
xmlEncodeSpecialChars;1
xmlUCSIsEthiopic;1
xmlParseContent;1
xmlReadMemory;1
xmlThrDefGetWarningsDefaultValue;1
xmlUCSIsMongolian;1
SUPPORT_IP6;8
HAVE_SYS_MMAN_H;4
xmlUCSIsCJKRadicalsSupplement;1
DEBUG_MEMORY_LOCATION;7
xmlParserInputShrink;1
DICT_DEBUG_PATTERNS;1
xmlValidateNotationDecl;1
xmlSchemaGetValidErrors;1
IN_LIBXML;1818
xmlXPathSumFunction;1
IS_BLANK;1
xmlCopyNamespace;1
xmlSchemaValidatePredefinedType;1
XP_DEBUG_OBJ_USAGE;2
bottom_nanohttp;21
xmlMemDisplayLast;1
bottom_c14n;6
TRIO_COMPILER_SUPPORTS_UNIX98;11
xmlUCSIsCyrillic;1
HAVE_RAND;1
xmlTextWriterSetIndent;1
DEBUG_PROGRESSIVE;1
TRIO_BSD;2
xmlAddChildList;1
xmlDictLookup;1
htmlParseChunk;1
xmlXPathIdFunction;1
xmlFreeIDTable;1
xmlTextReaderRead;1
xmlSaveUri;1
__mpexl;1
xmlIsChar;1
xmlXPathDebugDumpCompExpr;1
DEBUG_XPATH_EXPRESSION;1
htmlCtxtReadFd;1
xmlParserInputBufferCreateFile;1
xmlPedanticParserDefault;1
xmlTextWriterStartDTDEntity;1
DEBUG_LIST;1
xmlMemStrdupLoc;1
xmlParseDoc;1
DEBUG_INTERLEAVE;1
xmlRootNode;1
xmlXPathParseNCName;1
linux;1800
xmlSAX2GetColumnNumber;1
xmlLineNumbersDefault;1
TRIO_FPCLASSIFY;4
xmlNodeAddContent;1
xmlExpNewRange;1
xmlExpNewOr;1
xmlAddAttributeDecl;1
xmlRegExecPushString2;1
xmlListEmpty;1
ENOMEM;1
LIBXML_SCHEMATRON_ENABLED;19
xmlXPathNewParserContext;1
xmlParseDocument;1
xmlFreeNode;1
bottom_xinclude;12
xmlRelaxNGValidatePushElement;1
xmlThrDefKeepBlanksDefaultValue;1
xmlTextWriterWriteDTDNotation;1
xmlUCSIsSinhala;1
xmlParserInputBufferPush;1
xmlHashRemoveEntry;1
xmlFileMatch;1
xmlXPathFreeNodeSet;1
xmlStrEqual;1
xmlIOParseDTD;1
xmlTextReaderPreserve;1
xmlUCSIsKatakanaPhoneticExtensions;1
xmlFreeNotationTable;1
xmlAutomataNewOnceTrans2;1
xmlRelaxNGNewParserCtxt;1
xmlThrDefBufferAllocScheme;1
xmlRegisterNodeDefault;1
EIO;1
xmlSchemaIsValid;1
xmlErrMemory;1
xmlXPathWrapCString;1
EWOULDBLOCK;1
xmlAddElementDecl;1
xmlRealloc;1
xmlDOMWrapReconcileNamespaces;1
xmlLinkGetData;1
xmlNewTextWriterFilename;1
NDEBUG;1
xmlUCSIsKanbun;1
HAVE_ZLIB_H;24
xmlLockLibrary;1
xmlCtxtGetLastError;1
xmlUCSIsLatin1Supplement;1
xmlListPopBack;1
xmlCatalogLocalResolveURI;1
xmlUTF8Strloc;1
_LARGEFILE_SOURCE;1
htmlReadFile;1
xmlXPathCastNodeSetToBoolean;1
xmlTextWriterEndDocument;1
xmlXPathContextSetCache;1
xmlUCSIsDingbats;1
xmlSchemaParse;1
xmlThrDefDefaultBufferSize;1
HAVE_VFSCANF;1
xmlUCSIsPrivateUse;1
xmlSAX2StartDocument;1
HAVE_MATH_H;2
XPATH_STREAMING;3
USE_STRTOLD;3
__XML_GLOBALS_H;2
PIC;1797
htmlCtxtReadIO;1
xmlRecoverFile;1
xmlHashLookup;1
xmlXPathNextFollowingSibling;1
ENOLCK;1
TRIO_PUBLIC;2
htmlEncodeEntities;1
xmlXIncludeProcessTreeFlagsData;1
xmlTextWriterWriteRaw;1
xmlXPathCastToString;1
xmlFreeMutex;1
xmlSaveDoc;1
xmlTextWriterFlush;1
xmlIsExtender;1
xmlXPathCastBooleanToString;1
xmlUTF8Charcmp;1
HAVE_DL_H;1
xmlXPtrNewRangeNodes;1
xmlNodeBufGetContent;1
xmlTextWriterWriteDTDElement;1
htmlNewParserCtxt;1
xmlStringDecodeEntities;1
xmlXPathNotEqualValues;1
xmlTextReaderMoveToAttributeNs;1
xmlSAX2EndElementNs;1
__xlC__;6
xmlUCSIsOgham;1
FLT_RADIX;1
xmlExpGetStart;1
bottom_legacy;18
xmlSAX2EntityDecl;1
xmlNewDocComment;1
xmlListWalk;1
xmlUCSIsBopomofoExtended;1
ATTRIBUTE_UNUSED;2
bottom_uri;17
xmlBufferCreate;1
xmlAutomataNewCountTrans2;1
xmlUCSIsCJKCompatibility;1
xmlRelaxNGValidateFullElement;1
xmlValidateDocument;1
xmlAutomataNewTransition2;1
xmlFreeTextReader;1
bottom_DOCBparser;3
ERROR;2
xmlUCSIsCatPc;1
xmlUCSIsCatPf;1
xmlSetGenericErrorFunc;1
xmlUCSIsCatPd;1
htmlCtxtReadMemory;1
xmlUCSIsCatPi;1
bottom_HTMLparser;45
xmlUCSIsCatPo;1
xmlUCSIsSupplementalMathematicalOperators;1
xmlUCSIsCatPs;1
xmlInitializeDict;1
xmlUCSIsHighSurrogates;1
xmlCatalogResolveURI;1
xmlNanoFTPFreeCtxt;1
xmlNanoFTPDele;1
xmlCatalogGetDefaults;1
xmlSwitchEncoding;1
xmlTextReaderLocatorLineNumber;1
xmlNanoFTPCloseConnection;1
QUALIFIER_STICKY;1
xmlStreamPushNode;1
xmlAddNotationDecl;1
xmlRelaxNGNewMemParserCtxt;1
TRIO_MICROSOFT;3
xmlTextReaderAttributeCount;1
xmlCharStrndup;1
xmlParseEncodingDecl;1
__GNUC__;1818
DBL_EPSILON;2
xmlSAX2HasExternalSubset;1
xmlGetThreadId;1
xmlSAX2ResolveEntity;1
xmlBufferContent;1
xmlUCSIsUnifiedCanadianAboriginalSyllabics;1
ESPIPE;1
xmlCopyPropList;1
xmlDocFormatDump;1
xmlFreeStreamCtxt;1
xmlCtxtReset;1
xmlParseElementContentDecl;1
TRIO_COMPILER_MSVC;30
xmlIsRef;1
xmlParserInputRead;1
EROFS;1
xmlShell;1
HAVE_FLOAT_H;2
xmlSchemaGetBuiltInListSimpleTypeItemType;1
xmlTextReaderGetRemainder;1
xmlBufferResize;1
xmlTextWriterStartCDATA;1
xmlSchematronParse;1
ENOSPC;1
WITH_BIG_KEY;2
xmlUCSIsTaiLe;1
xmlSAX2UnparsedEntityDecl;1
xmlParseComment;1
xmlXPathSubstringAfterFunction;1
DEBUG_HTTP;6
DEBUG_EVAL_COUNTS;1
xmlSaveFormatFileEnc;1
xmlSAX2InitHtmlDefaultSAXHandler;1
xmlRelaxNGSetParserStructuredErrors;1
__unix__;10
xmlParseNmtoken;1
xmlUCSIsCatL;1
xmlSAX2IsStandalone;1
htmlNodeStatus;1
xmlNewDocElementContent;1
xmlCharEncOutFunc;1
xmlDebugDumpDTD;1
xmlXPtrNewCollapsedRange;1
xmlXPathNotFunction;1
xmlTextConcat;1
xmlListReverse;1
__GNUC_MINOR__;1797
htmlEntityLookup;1
TRIO_HAVE_CONFIG_H;1
TRIO_PLATFORM_VMS;6
xmlParsePI;1
DEBUG_MEMORY;6
xmlModuleFree;1
ERANGE;1
ENOENT;1
xmlSchemaValPredefTypeNode;1
xmlLoadCatalogs;1
xmlInitMemory;1
PyUnicode_Check;3
ENAMETOOLONG;1
htmlCtxtReadDoc;1
__hpux;4
bottom_pattern;17
_LONGLONG;1
xmlParseChunk;1
htmlSaveFileEnc;1
xmlNanoHTTPMimeType;1
xmlNewStringInputStream;1
xmlParseElementDecl;1
xmlDumpEntitiesTable;1
HAVE_MMAP;5
xmlParserValidityError;1
xmlNoNetExternalEntityLoader;1
xmlUCSIsCJKCompatibilityIdeographs;1
xmlExpFree;1
EMSGSIZE;1
LIBXML_FTP_ENABLED;63
xmlTextReaderMoveToFirstAttribute;1
xmlFreeEnumeration;1
xmlNewTextReader;1
xmlTextWriterStartDTDAttlist;1
xmlTextReaderGetAttributeNo;1
xmlTextWriterWriteVFormatRaw;1
xmlBufferWriteChar;1
xmlTextReaderGetAttributeNs;1
xmlPatternFromRoot;1
xmlXPathEvaluatePredicateResult;1
xmlTextWriterWriteRawLen;1
xmlFreeEntitiesTable;1
bottom_xpath;161
USE_STRTOD;2
USE_STRTOF;2
xmlUCSIsGeneralPunctuation;1
xmlUCSIsControlPictures;1
htmlIsBooleanAttr;1
xmlNodeListGetString;1
xmlUCSIsBengali;1
xmlBuildQName;1
xmlMemBlocks;1
xmlChildElementCount;1
xmlFreePropList;1
htmlDocDumpMemory;1
xmlXPathStringFunction;1
__BEOS__;15
xmlInitParserCtxt;1
xmlTextWriterWriteVFormatElementNS;1
xmlDictExists;1
xmlXPathPopExternal;1
xmlUCSIsTagbanwa;1
PyLong_AS_LONG;2
HAVE_LIBHISTORY;1
xmlTextReaderConstBaseUri;1
xmlUCSIsDeseret;1
xmlXPathRoundFunction;1
EPIPE;1
HAVE_SIGNAL_H;1
xmlTextReaderMoveToAttributeNo;1
ENOTEMPTY;1
xmlParserHandlePEReference;1
xmlStreamPush;1
xmlXPathNewBoolean;1
EADDRINUSE;1
xmlUCSIsPrivateUseArea;1
xmlCtxtReadFd;1
docbCreatePushParserCtxt;1
HAVE_INTTYPES_H;2
xmlUCSIsAlphabeticPresentationForms;1
bottom_SAX2;47
xmlSAX2ExternalSubset;1
xmlUCSIsCypriotSyllabary;1
xmlGetNsProp;1
xmlUCSIsCatC;1
xmlUCSIsCatN;1
bottom_error;16
xmlUCSIsCatM;1
xmlCtxtResetPush;1
xmlRelaxNGSetValidStructuredErrors;1
xmlPatternStreamable;1
xmlUCSIsCatS;1
xmlUCSIsCatP;1
xmlCatalogGetSystem;1
xmlUCSIsCatZ;1
xmlReaderForFd;1
XML_XML_NAMESPACE;2
HAVE_NETDB_H;5
xmlSchemaNewQNameValue;1
xmlUCSIsTagalog;1
xmlGetDtdElementDesc;1
xmlHashAddEntry3;1
xmlTextWriterStartDTDElement;1
xmlUCSIsPhoneticExtensions;1
xmlXPathCastNodeToString;1
xmlDumpAttributeDecl;1
xmlTextWriterSetIndentString;1
xmlHasFeature;1
xmlListMerge;1
DEBUG_ERR;1
xmlShellWrite;1
xmlSAX2NotationDecl;1
DEBUG_EXPR;1
xmlNamespaceParseNCName;1
xmlNewAutomata;1
xmlTextWriterWriteVFormatDTDInternalEntity;1
xmlListSearch;1
DEBUG_INPUT;3
xmlXPathNodeTrailing;1
INFINITY;4
HAVE_TIME;1
QUALIFIER_FIXED_SIZE;4
HAVE_SCANF;1
xmlIOHTTPClose;1
xmlCatalogAddLocal;1
xmlListFront;1
htmlEntityValueLookup;1
xmlAutomataNewState;1
xmlXPtrLocationSetCreate;1
xmlCopyEnumeration;1
xmlXPathDebugDumpObject;1
xmlInitGlobals;1
xmlExpGetLanguage;1
namePop;1
xmlHashScan;1
DEBUG_XINCLUDE;2
htmlParseFile;1
xmlModuleSymbol;1
xmlXIncludeSetFlags;1
LIBXML_DEBUG_ENABLED;114
xmlPatterncompile;1
DICT_RANDOMIZATION;4
xmlParseCharEncoding;1
xmlDebugCheckDocument;1
USE_TOLOWER;2
xmlXPathNodeLeadingSorted;1
xmlGetCharEncodingHandler;1
LIBXML_STATIC_FOR_DLL;8
htmlReadDoc;1
xmlTextWriterEndDTD;1
xmlBufferAddHead;1
xmlSAX2GetPublicId;1
MK_UINT64;3
xmlMemUsed;1
htmlNodeDumpFileFormat;1
xmlNanoHTTPFetch;1
xmlTextReaderConstXmlLang;1
xmlUCSIsCherokee;1
xmlNodeSetContent;1
EPERM;1
xmlStreamPushAttr;1
xmlSchemaValidateSetFilename;1
xmlBoolToText;1
TRIO_ERRORS;3
EISCONN;1
xmlRMutexUnlock;1
bottom_HTMLtree;20
xmlSetCompressMode;1
xmlCurrentChar;1
xmlNanoFTPNewCtxt;1
xmlParseBalancedChunkMemory;1
xmlStreamPop;1
htmlParseDocument;1
xmlXPathSubstringFunction;1
USE_STRERROR;3
xmlDebugDumpNode;1
xmlCopyDoc;1
xmlXIncludeProcessFlagsData;1
xmlParseDefaultDecl;1
xmlCopyAttributeTable;1
xmlMemSetup;1
xmlCtxtReadMemory;1
xmlCreateFileParserCtxt;1
xmlIOHTTPOpenW;1
TRIO_REPLACE_STDIO;16
ZLIB_VERNUM;2
xmlParseSystemLiteral;1
xmlFreeAutomata;1
xmlHashScanFull;1
xmlParseAttributeListDecl;1
LIBXML_DOCB_ENABLED;48
xmlSchemaNewDocParserCtxt;1
nodePush;1
xmlXIncludeProcess;1
xmlRegexpIsDeterminist;1
htmlNewDoc;1
xmlNanoFTPUpdateURL;1
xmlXPtrFreeLocationSet;1
xmlUCSIsCat;1
xmlCtxtResetLastError;1
htmlIsScriptAttribute;1
SOCKLEN_T;1
xmlInitializePredefinedEntities;1
xmlUCSIsMiscellaneousTechnical;1
xmlReaderForIO;1
xmlSchematronFreeParserCtxt;1
htmlAttrAllowed;1
xmlIOHTTPOpen;1
xmlCopyElementTable;1
xmlShellPrintNode;1
xmlValidateNMToken;1
LIBXML_AUTOMATA_ENABLED;27
TRIO_PLATFORM_MPEIX;1
xmlValidateNameValue;1
xmlXPathNewContext;1
__NetBSD__;7
xmlTextReaderLocalName;1
bottom_xmlunicode;168
EDOM;1
xmlRelaxNGNewDocParserCtxt;1
xmlGetFeaturesList;1
xmlSAX2Reference;1
xmlParseElementMixedContentDecl;1
BOOLEAN_T;1
_CFE;1
xmlBuildRelativeURI;1
xmlParseURIRaw;1
HAVE_VSSCANF;1
xmlNewNs;1
_XOPEN_SOURCE_EXTENDED;1
xmlACatalogResolvePublic;1
xmlTextWriterWriteCDATA;1
xmlBufferCreateStatic;1
xmlThrDefParserDebugEntities;1
xmlCatalogConvert;1
xmlUCSIsCJKSymbolsandPunctuation;1
xmlBufferCCat;1
xmlTextWriterWritePI;1
QUALIFIER_INTMAX_T;3
TRIO_COMPILER_ANCIENT;5
htmlElementStatusHere;1
xmlNanoFTPInit;1
TRIO_PLATFORM_WIN32;6
xmlSchemaValueGetNext;1
xmlBufShrink;1
xmlNanoFTPOpen;1
HAVE_FPRINTF;1
LIBXML_C14N_ENABLED;23
xmlParseEnumeratedType;1
RTLD_GLOBAL;1
LIBXML_THREAD_ALLOC_ENABLED;9
xmlExpMaxToken;1
xmlGetLastChild;1
xmlAddDtdEntity;1
TRIO_COMPILER_SUPPORTS_UNIX95;5
xmlParseNotationDecl;1
xmlNewDocRawNode;1
xmlSchemaCollapseString;1
xmlFreeAttributeTable;1
xmlTextReaderConstNamespaceUri;1
xmlUCSIsBasicLatin;1
xmlParseMisc;1
xmlParserInputBufferGrow;1
xmlParseExternalID;1
xmlDictSetLimit;1
DEBUG_GLOBALS;1
xmlXPathNextChild;1
LIBXML_DEBUG_RUNTIME;3
xmlStrlen;1
xmlExpDump;1
xmlTextReaderGetParserProp;1
xmlStrncat;1
xmlNewElementContent;1
xmlXPatherror;1
xmlTextWriterStartDTD;1
xmlParseMemory;1
HAVE_VSCANF;1
NIL;1
xmlCleanupEncodingAliases;1
xmlXPathCeilingFunction;1
xmlXPathDistinctSorted;1
xmlUCSIsSmallFormVariants;1
xmlInitParser;1
xmlXPathNodeSetSort;1
xmlSaveFileTo;1
xmlXPathStartsWithFunction;1
isfinite;4
xmlSaveToFd;1
xmlSearchNsByHref;1
xmlParseTextDecl;1
xmlXPathNextPreceding;1
xmlValidateAttributeValue;1
xmlXPathRegisterAllFunctions;1
xmlTextWriterStartComment;1
isnan;7
HAVE_TIME_H;13
xmlXPathRegisteredVariablesCleanup;1
xmlMallocLoc;1
xmlPatternMatch;1
xmlHandleEntity;1
xmlNewRMutex;1
xmlACatalogResolve;1
xmlUCSIsVariationSelectors;1
xmlSchemaValidCtxtGetOptions;1
xmlXPathCompiledEval;1
xmlParseDTD;1
xmlTextWriterWriteFormatDTDInternalEntity;1
xmlBufferDump;1
xmlValidateDocumentFinal;1
xmlIsLetter;1
xmlTextMerge;1
xmlTextWriterWriteVFormatAttributeNS;1
ETIMEDOUT;1
xmlPrintURI;1
xmlNanoFTPConnect;1
xmlParserInputGrow;1
xmlParseEnumerationType;1
DECIMAL_DIG;1
xmlXPathValueFlipSign;1
xmlSAX2Comment;1
xmlRelaxParserSetFlag;1
xmlTextWriterWriteFormatDTD;1
__osf__;4
