define;sd
xmlAutomataCompile;1
__SUNPRO_CC;7
xmlTextWriterWriteBinHex;1
HAVE_OS2;1
xmlXPathCastNodeToNumber;1
xmlUTF8Size;1
xmlNewText;1
SOLARIS;1
O_LARGEFILE;1
xmlDocCopyNodeList;1
xmlDictSize;1
xmlAllocParserInputBuffer;1
TESTING;2
xmlXPtrLocationSetAdd;1
xmlDeregisterNodeDefault;1
xmlNewDocText;1
ESRCH;1
xmlSnprintfElementContent;1
xmlNewReference;1
xmlPatternMinDepth;1
xmlSchematronNewMemParserCtxt;1
xmlGetNsList;1
xmlXPathNewValueTree;1
xmlNanoHTTPOpen;1
xmlSchemaCheckFacet;1
LC_COLLATE;2
xmlNanoFTPConnectTo;1
xmlOutputBufferWriteString;1
xmlTextWriterWriteFormatCDATA;1
xmlValidateDtd;1
xmlConvertSGMLCatalog;1
sun;3
xmlSetExternalEntityLoader;1
xmlXPathNodeSetMerge;1
xmlC14NDocDumpMemory;1
xmlBufContent;1
xmlSchemaSAXUnplug;1
xmlXPathCastNodeSetToString;1
xmlDumpNotationDecl;1
xmlXPtrNewLocationSetNodes;1
xmlUCSIsCombiningMarksforSymbols;1
DEBUG_REGEXP_GRAPH;1
xmlValidateElement;1
xmlPopInputCallbacks;1
xmlUCSIsLao;1
xmlParserInputBufferCreateFd;1
xmlNewDocFragment;1
xmlTextWriterWriteFormatString;1
htmlReadMemory;1
xmlHashRemoveEntry2;1
xmlHashRemoveEntry3;1
TRIO_MALLOC;1
xmlListPushFront;1
xmlXPathNodeSetFreeNs;1
xmlXPtrBuildNodeList;1
LIBXML2_COMPILING_MSCCDEF;2
xmlTextWriterWriteVFormatString;1
DEBUG_STEP;2
xmlSchemaCompareValuesWhtsp;1
xmlDictCreateSub;1
HAVE_CTYPE_H;4
xmlTextReaderHasAttributes;1
HAVE_FCNTL_H;11
xmlNewTextWriterMemory;1
xmlListPushBack;1
xmlDOMWrapCloneNode;1
TRIO_COMPILER_SUPPORTS_UNIX01;1
xmlShellSave;1
xmlSchemaNewNOTATIONValue;1
xmlUCSIsGothic;1
xmlThrDefSetStructuredErrorFunc;1
xmlBufferAdd;1
xmlNodeDumpOutput;1
HAVE_STRING_H;4
__IBMC__;6
xmlXPathRegisteredFuncsCleanup;1
